id,cn,type,status,created_at,expires_at
1,alex-note,Certificate,active,,2028-04-12 01:09:59
2,alex-phone,Certificate,active,,2028-04-12 01:16:14
3,kali-note,Certificate,active,,2028-04-12 02:12:47
4,alex-work,Certificate,active,,2028-04-16 14:02:52
5,osvaldo-phone,Certificate,active,,2028-05-26 22:02:18
6,osvaldo-note,Certificate,active,,2028-07-09 23:12:23
